2026-02-17T09:29:53.266Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:29:53.271Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:30:03.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:30:03.272Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:30:13.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:30:13.272Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:30:23.267Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:30:23.271Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:30:33.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:30:33.269Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:30:43.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:30:43.269Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:30:53.266Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:30:53.273Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:31:03.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:31:03.273Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:31:13.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:31:13.274Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:31:23.268Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:31:23.274Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:31:33.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:31:33.269Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:31:43.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:31:43.270Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:31:53.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:31:53.273Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:32:03.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:32:03.272Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:32:13.267Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:32:13.271Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:32:23.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:32:23.269Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:32:33.267Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:32:33.273Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:32:43.266Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:32:43.274Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:32:53.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:32:53.270Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:33:03.266Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:33:03.273Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:33:13.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:33:13.273Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:33:23.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:33:23.272Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:33:33.260Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:33:33.262Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:33:43.266Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:33:43.271Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:33:53.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:33:53.270Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:34:03.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:34:03.273Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:34:13.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:34:13.271Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:34:23.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:34:23.273Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:34:33.266Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:34:33.271Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:34:43.267Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:34:43.274Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:34:53.266Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:34:53.272Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:35:03.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:35:03.272Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:35:13.266Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:35:13.271Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:35:23.266Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:35:23.273Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:35:33.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:35:33.271Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:35:43.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:35:43.270Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:35:53.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:35:53.270Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:36:03.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:36:03.271Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:36:13.267Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:36:13.271Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:36:23.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:36:23.269Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:36:33.266Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:36:33.272Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:36:43.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:36:43.273Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:36:53.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:36:53.272Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:37:03.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:37:03.268Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:37:13.266Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:37:13.271Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:37:23.266Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:37:23.273Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:37:33.267Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:37:33.272Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:37:43.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:37:43.273Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:37:53.266Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:37:53.273Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:38:03.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:38:03.273Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:38:13.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:38:13.273Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:38:23.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:38:23.271Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:38:33.266Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:38:33.272Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:38:43.264Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:38:43.272Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:38:53.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:38:53.271Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:39:03.266Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:39:03.275Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:39:13.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:39:13.271Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:39:23.263Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:39:23.270Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:39:33.266Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:39:33.272Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:39:43.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:39:43.273Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:39:53.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:39:53.269Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:40:03.266Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:40:03.271Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:40:13.266Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:40:13.271Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:40:23.266Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:40:23.275Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:40:33.267Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:40:33.273Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:40:43.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:40:43.269Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:40:53.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:40:53.273Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:41:03.264Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:41:03.269Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:41:13.262Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:41:13.265Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:41:23.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:41:23.271Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:41:33.266Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:41:33.274Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:41:43.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:41:43.272Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:41:53.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:41:53.270Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:42:03.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:42:03.272Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:42:13.264Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:42:13.272Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:42:23.264Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:42:23.269Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:42:33.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:42:33.269Z | GET /api/sensors | Auth: Invalid
